Full Name,Description
"Kiyan Foroughi,         32","Boticca              Kiyan Foroughi is the CEO and Founder of Boticca, the world’s online destination for jewellery, bags and fashion accessories with a story made by independent designers. The site offers customers exquisite accessories made by emerging designers and undiscovered brands hand-selected by a team of stylehunters. He is also an active angel investor and advisor in such companies as Boppl, PayPlug, Watsi, Ometria, Fotolia and AVG Technologies. Kiyan has a BA in Economics from Tufts University in Boston.       London, UK"
Babak Pahlavan,"Co-Founder of Clever Sense              Babak bootstrapped Clever Sense during its first 2 years and has since secured equity financing from angel investors.He earned his dual-degree bachelor's with honors from UC Berkeley in EE and CS and earned his master's degree with honors from Stanford in EE, with emphases on CS      Bay Area, CA, USA"
Bijan Marashi,"CEO at Pharmozyme              Bijan Marashi is a Co- Founder of Xoopit Inc. and serves as its Chief Executive Officer. Mr. Marashi oversees product strategy, marketing and sales. Prior to Xoopit, he consulted the executive teams at European portals including Telecom Italia & Gruppo Espresso on product strategy. Mr. Marashi was discovered at Inktomi, where he served as the Lead Product Manager for the Search & Directory Engine products behind services such as Yahoo, AOL and Microsoft      Bay Area, CA, USA"
Darian Shirazi,Radius              Founder and CEO of Radius
Ehsan Baloochy,Social Shopper              Founder & CEO SocialShopper      Vancouver
Ehsan Dariani,"Founder & CEO at studiVZ              StudiVZ is a social networking platform for students, based in Berlin, Germany. The service is largely comparable to other social networking sites.  StudiVZ claims to be one of the biggest social networks in Europe, with over 16.000.000 members as of Junuary 2010, mostly in the German-speaking countries; Germany, Switzerland and Austria.      Berlin Area, Germany"
Elias Shams,"awesomize.me              Founder at Awesomize.me      Washington, DC"
Farhad Mohit,"Shopzilla, BizRate.com, Gri.pe              Founder and CEO, Flipagram. Formerly: Founder, Chairman & CPO at Shopzilla Founder, Chairman & CEO at BizRate.com      Los Angeles, USA"
Alex Mehr,"Zoosk              Co-Founder of Zoosk, an online dating service available in 25 languages and in more than 80 countries."
Farzad Nazem,"Yahoo!              Farzad Nazem, also known as Zod Nazem, was Yahoo!'s chief technology officer and one of its longest-serving executives. On May 30, 2007, at age 46, he announced that he would retire and leave Yahoo! in June of that year      Bay Area, CA, USA"
Majid Emami,"Co-Founder of SoundHound              Majid is responsible for managing the development of SoundHound’s core technologies. He has extensive experience in the fields of signal processing and information theory, and is one of the leading inventors of the SoundHound audio recognition engine, where he contributed to both the signal-processing front end and the algorithmic back end.       Silicon Valley, CA"
Hessam Lavi,"Founder of Jobspotting              Founder & CEO at Jobspotting. Iranian born Swede in Berlin. Ex-Google. Also running @berlin_startups.      Berlin Area, Germany"
Hooman Radfar,"ClearSpring              Hooman is the co-founder of AddThis, where he was previously the CEO.      Bay Area, CA, USA"
Iman Jalali,"TrainSignal, Founder              Director of Marketing, Review Trackers. Formerly, President of TrainSignal      Chicago, IL, USA"
Kamran Elahian,"Co-Founder of Global Catalyst Partners              Kamran Elahian is the Chairman and Co-Founder of Global Catalyst Partners, an international, multistage, technology-oriented venture capital firm. GCP has invested in leading-edge technology companies in the U.S., China, Japan and Israel      Palo Alto, CA, USA"
Kamran Pourzanjani,"Pricegrabber, Bestcovery              Kamran Pourzanjani is an entrepreneur and an early angel investor based in Los Angeles, California. He co-founded and was formerly the CEO of PriceGrabber, a comparison shopping site started in 1999 with less than $1.5 million in angel funding      Bay Area, CA, USA"
Keyvan Mohajer,"Co-Founder of SoundHound              Keyvan leads the company's management, corporate strategy and operations. He is also the principal executive responsible for SoundHound’s technology development. With more than 12 years of executive experience as a visionary entrepreneur and a results oriented general manager, Keyvan has played a key role in taking multiple startups from basic concept to profitability. Keyvan has a master’s and Ph.D. in electrical engineering from Stanford University.      Bay Area, CA, USA"
Mahbod Moghadam,"Rap Genius              Mahbod Moghadam is a graduate of Stanford Law School and worked as an attorney for the firm of Dewey & Leboeuf in New York before beginning work on Rap Genius.      Silicon Valley, CA"
Mareza Larizadeh,"(ex Doostang, Pulsd)              Founder of Doostang, Investor in Skype, Bonobos, Warby Parker      New York, NY"
Masoud Loghmani,"Director at Accenture              Director, Open Innovation and Venturing Strategy at Accenture"
Mehdi Ghazizadeh,"Senior Director of Software Engineering, StubHub              StubHub Director of Software Development Mehdi Ghazizadeh      Bay Area, CA, USA"
Misagh Shakeri,"CTO at Koolicar              Born in Iran, He worked on many web IT projects as a developer before moving to France where He continued his adventure by studding Master of Software Architecture and worked as an IT consultant and CTO for 8 years. He also founded my startup then moved to Montreal. Koolicar is a peer-to-peer carsharing service provider that uses in-vehicle technology      Montreal, Canada"
Mohsen Moazami,"Founder & Managing Director, Columbus Nova              Mohsen Moazami is a GP at Columbus Nova Technology Partners (CNTP), a novel global technology investment firm combining the best attributes of venture & private equity business models.      Bay Area, CA, USA"
Navid Zolfaghari,"Social Media Marketing Strategy at Google              Co-Founder of PinpointTeam, ex-Googler, Lecturer at Stanford, Advisor at 500Startups      Palo Alto, CA"
Payman Nilforoush,"CEO & Co-Founder, inPowered      Bay Area, CA, USA"
Pirouz Nilforoush,"inPowered              President & Co-Founder, inPowered      Bay Area, CA, USA"
Pooya Kazerooni,"Linquet.com              Founder and President, Linquet      Vancouver, CA"
Reza Malekzadeh,"Cumulus Networks              Reza Malekzadeh is a software executive and entrepreneur noted for his active role in the development of virtualization leader VMware      Bay Area, CA, USA"
Shahab Kaviani,"Co-Founder and CMO at Onevest              Co-Founder of CoFounders Lab, merged with Onvest in summer of 2014. One vest is a global community of entrepreneurs and investors.      MD, USA"
Saeed Amidi,"Plug and Play Tech Center              Saeed Amidi is the Founder and CEO of Plug and Play Tech Center. Plug and Play is the premier technology startup accelerator with over 300 companies      Bay Area, CA, USA"
Shayan Shalileh,"Anetwork              He is co-founder of Khavarzamin, one of the leading internet companies in Iran. He is a serial entrepreneur, with startups such as OLC, Anetwork, Webna. Shayan is also chief-editor of Webna, the founder of Iran Web Festival, and a co-organizer of Startup Weekend Tehran. Anetwork recently got investment from Sarava Venture Capital.      Tehran"
Tina Maleki,"Lead Designer at Do.com              Lead Designer at Do.com, which helps people run productive meetings. Previously at Voxer      San Francisco, CA"
Saied Ghaffari,"Founder of It's About Time              Founder, It's About Time. The company had created a training app which ran on the Mac and provided new iPhone users a chance to learn more about their devices, iTunes, and synchronization with the Mac. Formerly, Mac evangalist at Apple Inc.      Cupertino, CA, USA"
Salar Kamangar,"Youtube              Salar Kamangar (born in Tehran, Iran) holds a bachelor's degree in Biological Sciences with honors from Stanford University and was the 7th employee to join Google. He is a senior executive at Google and former CEO of Google's YouTube brand.      Bay Area, CA, USA"
Salman Jariri,"DubaiBeat              Salman Jariri is a Dubai-based entrepreneur and founder and CEO of DubaiBeat.com, a private equity and venture capital portal in the Middle East      Dubai, UAE"
Sanaz Ahari,"Group Product Manager at Google              she loves realizing new concepts, building amazing teams and pushing the envelope.      Seattle, USA"
Seena Rejal,"Co-Founder of 3D Industries              “What Google did for words and text on the web, we aim to do for shapes and 3D models,”      United Kingdom"
Sepandar David Kamvar,"Technical Advisor, Etsy              Associate Professor of Media Arts and Sciences at MIT. Formerly head of personalization at Google, Technical Advisor to Clever Sense and Etsy      San Francisco, CA, USA"
Shahram Dabiri,"Production Director at Blizzard Entertainment              Shahram Dabiri is the Production Director for the Audio Department at Blizzard Entertainment. Blizzard is an American video game company creator of World of Warcraft      Orange County,CA"
Sharam Fouladgar-Mercer,"AirPR              Sharam Fouladgar-Mercer is the CEO of AirPR, a company he co-founded in 2011. He was an Entrepreneur in Residence at Shasta Ventures focused on consumer internet and the social graph.      San Francisco, CA"
Shobeir Shobeiri,"Business Development at Pebble Watch              Business Development at Pebble, Founding team member of Plug and Play Tech Center      San Francisco, CA"
Mohsen Malayeri,Avatech              Co-founder of Avatech-First startup accelerator program in Iran. previously Eecutive Vice President in Iran Entreprenuership Association(IEA) and co-founder of Anetwork.      Tehran. Iran
Sohrab Vossoughi,"Founder Ziba Design              Sohrab's passion for business-driven design has always shaped Ziba’s growth and evolution. Today, he guides the vision and creative direction for Ziba.      Portland, OR"
Siavosh Arasteh,"Co-Founder, Agflow              Co-Founder of AgFlow, a web-based market intelligence platform for traders of physical agricultural products.      Geneva, Switzerland"
Cyrus Karbassiyoon,"PersistIQ              Cyrus is the Co-Founder of PersistIQ      Silicon Valley, CA"
"Azadeh Tajdar,         37","Azadeh is a social entrepreneur with extensive track record initiating and managing social ventures in frontier and emerging markets in various sectors.      New York, USA"
Yasaman Baiani,"Athena Health              Yasi is an entrepreneur, advisor, and product manager. She is super passionate about wearables/quantified-self technologies, health and wellness, and healthcare.      San Mateo, CA"
"Saman Sadeghian,         31","Co-Founder & COB at Iranian Modern Business Co.               Co-Founder of NetBarg.com, the first and largest Iranian group buying website and has several other online projects in the pipeline.      London - UK"
Lily Sarafan,"CEO @ HCA              CEO of HCA. Investor/Advisor for Consumer Internet and Digital Health. Mentor, 500 Startups and Avatech. 40 Under 40. Stanford BS/MS. Stanford and UC Berkeley Board Member.      Palo Alto, CA"
Narges Bani Asadi,"Bina Technologies              Nages is the CEO of Bina Technologies, building the next generation analysis tools and infrastructure solutions for scalable and highly accurate processing of genomics information. With the advancement in DNA sequencing and other high throughput data technologies the challenge in front of our community is how to manage and interpret these massive data sets.      Redwood City, CA"
"Ali Reza Sadeghian,         30","Iranian Modern Business Co.               Co-Founder & CEO of Iranian Modern Business Co., one of the biggest Iranian e-commerce companies, investing in different e-commerce ideas, notably NetBarg.com, Iran's First & Biggest group-buying website.       Tehran, Iran"
"Nazanin Daneshvar,         32","Takhfifan              She is the Founder of Takhfifan.com, The First and the Biggest Iranian Group Buying Website. Founded Meydoonak.com 5 years ago which was the first Iranian Online Grocery Shopping      Tehran, Iran"
Arad Rostampour,Zen Health              CEO and Founder at Zen Health      San Francisco Bay Area
Ali Khoshgozaran,"Tilofy              Ali is the Founder and CEO of Tilofy. Tilofy (for Time and Location) is a platform for universal discovery of world's real-time information around any location.      Los Angeles, CA"
Pouyan Salehi,"PersistIQ              CEO and co-founder of @PersistIQ (YC S14). Previously at Apple, StackMob and Redpoint Ventures.      Silicon Valley, CA"
Alireza Davoodi,"Alireza is the CTO and co-founder of Curatio.      Vancouver, BC"
Sardar Biglari,"Biglari Holdings              Sardar Biglari is an entrepreneur and is the Founder, Chairman and CEO of Biglari Holdings Inc. He started at age of 18 & now has 22,000 employees      San Antonio, TX"
"Shahin A. Tabary,         41","Chargoon              Is Founder @ Chargoon Company In addition to broad activity in software field and efforts for promoting information technology in Iran, he also acts as a professional athlete      Tehran, Iran"
Nima Adelkhani,"PITME, CEO              Founder PITME, Formerly head of business development for the Founder Institute, a global accelerator with operations in over 30 cities.      Bay Area, CA, USA"
Hesaam Esfandyarpour,"Genapsys              CEO, President and Chairman at GenapSys Inc      Silicon Valley, CA"
Pejman Makhfi,"Capshare Media              Pejman is a Silicon Valley technology veteran, serial entrepreneur and Advisor in the high-tech industry. Currently Co-Founder and CTO at Capshare Media. Previously: CTO at FinancialCrossing, CTO at TEN, Chief Architect at Savvion and Founder/Managing Director of VentureChoice.      Silicon Valley, California"
"Arya Bolurfrushan,         31","Bolurfrushan International Group              Investor. CEO of Bolurfrushan International Group. GM of RAK Petroleum, largest private oil company in the Middle East. Ex- Goldman Sachs. Harvard MBA. Global Shaper @ WEF.      Dubai, UAE"
"Nima Nourmohammady,         35",Ponisha              Founder and CEO of ponisha.irLocal online outsourcing website for Iranian Freelancers and EntrepreneursFounder and CEO of ihome.ir Online local property search        Tehran
"Fay Arjomandi,         47","Nantworks              Serial entrepreneur, executive leader, investor, engineering background. Received multiple awards and recognitions      Los Angeles, CA"
"Shahrzad Rafati,         35","BroadbandTV Corp              Shahrzad Rafati is the founder and CEO of BroadbandTV Corp, a leading digital entertainment and technology company that operates an entertainment network on YouTube.      Vancouver, Canada"
"Amir Vohooshi,         38","Rahnema (beeptunes.com,beep,...)              Investor and Entrepreneur for more than 15 years. Turnaround artist in many companies. Co-founder of http://Beeptunes.com and ...      Tehran,Iran"
"Alireza Mojtahedi,         34","Tilofy              Founder & CTO at Tilofy      Los Angels, CA"
"Sepideh Nasiri,         35","Serial Entrepreneur & Startup Advisor              Sepideh Nasiri, Director at SV FORUM, is an award-winning serial Entrepreneur and the former Vice President at Women 2.0.      San Francisco, CA"
"Vahid Jozi,         30",Unata              Head of Product at Unata. Mentor at FounderFule (Montreal) and Avatech (Tehran).       Canada
"Ali Vahabzadeh,         41","Chariot              Ali was involved with neighborly.com and has now started ChariotSF.com      San Francisco, CA"
"Alireza Tahmaseb,         22","BLOCKS Wearables              Founder of BLOCKS, the world's first modular smartwatch. It has been featured in world class media and won prestigious international awards. He started this company at age 19       London, Palo Alto"
